,Description,Price,Product name
0,โทรศัพท์มือถือAppleiPhoneแอปเปิ้ลไอโฟน :iPhone 6s สมาร์ทโฟนรุ่นปรับปรุงใหม่จากค่าย Apple ที่มาพร้อมกับ iOS 9 ระบบปฏิบัติการเวอร์ชั่นล่าสุดที่ทั้งเบาลื่นไหลและประหยัดพลังงานมากขึ้น ...,"11,240",Apple iPhone 6s 16GB
1,โทรศัพท์มือถือAppleiPhoneแอปเปิ้ลไอโฟน :iPhone 6s สมาร์ทโฟนรุ่นปรับปรุงใหม่จากค่าย Apple ที่มาพร้อมกับ iOS 9 ระบบปฏิบัติการเวอร์ชั่นล่าสุดที่ทั้งเบาลื่นไหลและประหยัดพลังงานมากขึ้น ...,"16,500",Apple iPhone 6s Plus 16GB
2,โทรศัพท์มือถือAppleiPhoneแอปเปิ้ลไอโฟน :iPhone 6s สมาร์ทโฟนรุ่นปรับปรุงใหม่จากค่าย Apple ที่มาพร้อมกับ iOS 9 ระบบปฏิบัติการเวอร์ชั่นล่าสุดที่ทั้งเบาลื่นไหลและประหยัดพลังงานมากขึ้น ...,"14,700",Apple iPhone 6s 64GB
3,โทรศัพท์มือถือAppleiPhoneแอปเปิ้ลไอโฟน :iPhone 6s สมาร์ทโฟนรุ่นปรับปรุงใหม่จากค่าย Apple ที่มาพร้อมกับ iOS 9 ระบบปฏิบัติการเวอร์ชั่นล่าสุดที่ทั้งเบาลื่นไหลและประหยัดพลังงานมากขึ้น ...,"18,910",Apple iPhone 6s Plus 128GB
4,โทรศัพท์มือถือAppleiPhoneแอปเปิ้ลไอโฟน :iPhone 6s สมาร์ทโฟนรุ่นปรับปรุงใหม่จากค่าย Apple ที่มาพร้อมกับ iOS 9 ระบบปฏิบัติการเวอร์ชั่นล่าสุดที่ทั้งเบาลื่นไหลและประหยัดพลังงานมากขึ้น ...,"18,700",Apple iPhone 6s 128GB
5,โทรศัพท์มือถือAppleiPhoneแอปเปิ้ลไอโฟน :iPhone 6s สมาร์ทโฟนรุ่นปรับปรุงใหม่จากค่าย Apple ที่มาพร้อมกับ iOS 9 ระบบปฏิบัติการเวอร์ชั่นล่าสุดที่ทั้งเบาลื่นไหลและประหยัดพลังงานมากขึ้น ...,"19,390",Apple iPhone 6s Plus 64GB
6,โทรศัพท์มือถือAppleiPhoneแอปเปิ้ลไอโฟน :iPhone 6S Plusมาพร้อมกับหน้าจอขนาดกว้าง 5.5 นิ้ว แบบ Retina Display ความละเอียด 1920 x 1080 พิกเซล เหมือนกันทั้ง 2 รุ่น แต่ความแตกต่างระหว่า...,"18,600",Apple iPhone 6s Plus 32GB
7,โทรศัพท์มือถือAppleiPhoneแอปเปิ้ลไอโฟน :เปิดตัว iPhone 6s จาก Apple ไม่ใช่แค่ใหญ่ขึ้น แต่ยังดียิ่งขึ้นในทุก ๆ ด้าน ซึ่งถึงจะใหญ่กว่า แต่ก็บางลงอย่างมาก ถึงจะทรงพลังยิ่งขึ้นแต่ก็ประ...,"17,100",Apple iPhone 6s 32GB
8,"หน้ากากมือถือ เคสต่างๆAppleiPhoneแอปเปิ้ลไอโฟน:เคสและกรอบมือถือ [IPhone]IPhone iPhone 6S Plus Case, iPhone 6 Plus Case,iPhone 6S Plus Leather Case,iPhone 6S Plus Wallet Case,iPhone 6S Plus Wallet Case,iPhone...","1,220","[IPhone]IPhone iPhone 6S Plus Case, iPhone 6 Plus Case,iPhone 6S Plus Leather Case,iPhone 6S Plus Wallet Case,iPhone 6S Plus Wallet Case,iPhone 6 Plus Leather Case - Gotida iPhone 6/6S Plus Walle (580"
9,"หน้ากากมือถือ เคสต่างๆAppleiPhoneแอปเปิ้ลไอโฟน:เคสและกรอบมือถือ [Nacycase]Case for iPhone 6S,iPhone 6S case wallet,iPhone 6S phone case,case for iPhone 6S,Nacycase iPhone 6S จำหน่ายและจัดส่งโดย StoreUSA สินค...","1,228","[Nacycase]Case for iPhone 6S,iPhone 6S case wallet,iPhone 6S phone case,case for iPhone 6S,Nacycase iPhone 6S (5853479)"
10,สายเคเบิ้ล สายดาต้าลิ้งค์AppleiPhoneแอปเปิ้ลไอโฟน:สายชาร์จแบบ USB 2.0ความยาวสาย 22 เซนติเมตรใช้เป็นเครื่องประดับ (ริสแบน)ได้วัสดุ ABS,150,"สายชาร์จ iphone 5, 5s, 6, 6s, 6 plus, 6s plus (ริสแบน-สีดำ) (7818665)"
11,สายเคเบิ้ล สายดาต้าลิ้งค์:[ALLONG SHOP][-][-] .,179,Remax สายชาร์จ iPhone5/5s/6/6s (866-BTW0000000599568)
12,อุปกรณ์เสริมโทรศัพท์มือถือAppleiPhoneแอปเปิ้ลไอโฟน:มี Chip สำหรับควบคุมการผ่านกระแสไฟได้เสถียรมากขึ้น,49,REMAX Cable สายชาร์จ iPhone5/5s6/6s รุ่น RC-050i LESU - Pink
13,หน้ากากมือถือ เคสต่างๆAppleiPhoneแอปเปิ้ลไอโฟน:Clip or snap your iPhone 6s into our new Belt Clip for the extra helping hand. Weve built this to be custom fit with Spigens Tough Armor and Perfect Armor cases...,790,Belt Clip for iPhone 6 / iPhone 6s สี : Black
14,สายเคเบิ้ล สายดาต้าลิ้งค์AppleiPhoneแอปเปิ้ลไอโฟน:สายชาร์จ Micro USB THRONE WDC-007 19-09-2016 Updated สายชาร์จ Micro USB THRONE WDC-007 สายชาร์จ คุณภาพสูง ผลิตจากวัสดุ อย่างดี ทั้งชาร์จเร็ว และส่งข้อมูลอย่างรว...,120,"สายชาร์จ iPhone 5/5s,6/6s THRONE WDC-007 สีทอง"
15,AppleiPhoneแอปเปิ้ลไอโฟน:คุณสมบัติ - กระจกมีความโปร่งใสมากถึง 98% - 99% Anti Glare - 98% Anti UVA-UVB - ใช้วัตถุดิบจาก AGC Asahi Glass Japan - เคลือบสารกันรอยนิ้วมือ - ความบางของกระจกนิ...,299,Tempered Glass iPhone 6 / 6s Super Save Pack 10 ชิ้น (67583408)
16,หน้ากากมือถือ เคสต่างๆAppleแอปเปิ้ล:รายละเอียด--> Verus Apple iPhone 6s /6 Case Damda Slide เคสที่มาครบทั้งการปกป้อง สไตล์ และฟังค์ชั่นสำหรับ iPhone 6s ช่องเก็บบัตรที่สะดวกในการหยิบใช้งาน เคส 2 ชั...,"1,047.20",VERUS iPhone 6S/6 Damda Slide
17,แบตเตอรี่อุปกรณ์สื่อสารAppleiPhoneแอปเปิ้ลไอโฟน:คุณสมบัติ ชนิดแบตเตอรี่ : Li-Polymer มิลลิแอมป์ : 1715 mAh รับประกัน : 1 ปี รองรับ : iPhone 6s หมายเหตุ : ลูกค้าต้องนำเปลี่ยนแบตฯ ที่ร้านค้าเอง (ราคาไม่รวมค่าเป...,"1,100",แบตเตอรี่มือถือ iPhone 6s
18,"หน้ากากมือถือ เคสต่างๆAppleiPhoneแอปเปิ้ลไอโฟน:เคสและกรอบมือถือ [Linycase]6S,iPhone 6S,6S Case,iPhone 6S Case Wallet,6S Case,iPhone 6S Case Leather,Linycase PU Leather[Purse จำหน่ายและจัดส่งโดย StoreUSA สินค...","1,053","[Linycase]6S,iPhone 6S,6S Case,iPhone 6S Case Wallet,6S Case,iPhone 6S Case Leather,Linycase PU Leather[Purse (5821311)"
19,"หน้ากากมือถือ เคสต่างๆAppleiPhoneแอปเปิ้ลไอโฟน:เคสและกรอบมือถือ [Ikasus]Ikasus Case for iPhone 6S,iPhone 6S / 6 Wallet Case,Cover for iPhone 6S,Flip Case for iPhone 6S,Case with S จำหน่ายและจัดส่งโดย StoreUS...","1,463","[Ikasus]Ikasus Case for iPhone 6S,iPhone 6S / 6 Wallet Case,Cover for iPhone 6S,Flip Case for iPhone 6S,Case with S (5855082)"
20,"หน้ากากมือถือ เคสต่างๆAppleiPhoneแอปเปิ้ลไอโฟน:เคสและกรอบมือถือ [For]For iPhone 6S,iPhone 6s Case,iPhone 6s Leather,iPhone 6s Wallet Case,iPhone 6s 4.7 Case,Flipcase Colorful Printed PU Wallet Leather Case C...","1,288","[For]For iPhone 6S,iPhone 6s Case,iPhone 6s Leather,iPhone 6s Wallet Case,iPhone 6s 4.7 Case,Flipcase Colorful Printed PU Wallet Leather Case Cover For iPhone 6s 4.7 inch (5839936)"
21,"หน้ากากมือถือ เคสต่างๆAppleiPhoneแอปเปิ้ลไอโฟน:เคสและกรอบมือถือ [6S]6S Plus Case,iPhone 6S Plus Wallet Case,Nakeey iPhone 6S Plus Case Leather,Wallet Style Case Cover for iPhone 6S 5.5 inch (Black) จำหน่ายแล...","1,113","[6S]6S Plus Case,iPhone 6S Plus Wallet Case,Nakeey iPhone 6S Plus Case Leather,Wallet Style Case Cover for iPhone 6S 5.5 inch (Black) (5818377)"
22,"หน้ากากมือถือ เคสต่างๆAppleiPhoneแอปเปิ้ลไอโฟน:เคสและกรอบมือถือ [Panycase]6S Case,iPhone 6S Case,iPhone 6s Case Cover,Panycase Wallet iPhone 6S Case,With Credit Card iPhone 6 จำหน่ายและจัดส่งโดย StoreUSA สิน...","1,228","[Panycase]6S Case,iPhone 6S Case,iPhone 6s Case Cover,Panycase Wallet iPhone 6S Case,With Credit Card iPhone 6 (5860438)"
23,"หน้ากากมือถือ เคสต่างๆAppleiPhoneแอปเปิ้ลไอโฟน:เคสและกรอบมือถือ [Panycase]6S Case,iPhone 6S Case,iPhone 6s Case Cover,Panycase Wallet iPhone 6S Case,With Credit Card iPhone 6 จำหน่ายและจัดส่งโดย StoreUSA สิน...","1,228","[Panycase]6S Case,iPhone 6S Case,iPhone 6s Case Cover,Panycase Wallet iPhone 6S Case,With Credit Card iPhone 6 (5856442)"
24,"หน้ากากมือถือ เคสต่างๆAppleiPhoneแอปเปิ้ลไอโฟน:Features: Made of premium leather, looking elegant and feeling good in the hand. The phone case provides great protection for your phone against scratches and d...",441,PCOL Leather Zipper Wallet Case With Hook For iPhone 6 6s-iPhone 6/6s
25,หน้ากากมือถือ เคสต่างๆAppleiPhoneแอปเปิ้ลไอโฟน:LED Flash Light Up Remind Incoming Call LED Blink Cover Case For iPhone 6 Specification: Size: 13.9*6.9*1cm Material: TPC & PC Light penetration ratio: 96% Comp...,136,Incoming Call LED Flash Light Case For iPhone 6 6s -iPhone 6/6s
26,"หน้ากากมือถือ เคสต่างๆAppleiPhoneแอปเปิ้ลไอโฟน:Compatibility Apple Compatible Model iPhone 6, iPhone 6s Material TPU Feature Soft, Dropproof Type Back Cover Pattern Blu Ray, Colorful More details:",95,Soft TPU Blu Ray Pattern Texture Case For iPhone 6 6s-iPhone 6/6s
27,"หน้ากากมือถือ เคสต่างๆAppleiPhoneแอปเปิ้ลไอโฟน:Description: Weight:90g Material:PU+PC Compatible Model:iPhone 6 6s 4.7inch Color:grey,yellow,light yellow Feature: Fashionable compact,light-weighted stylish B...",179,Worldwide Map Card Slot Bracket Case For iPhone 6 6s-iPhone 6/6s
28,ซองโทรศัพท์ ซิลิโคน แผ่นกันรอยAppleแอปเปิ้ล:,110,Film APPLE IPHONE 6Plus/6sPlus 'FOCUS' ใสลดรอยนิ้วมือ
29,หน้ากากมือถือ เคสต่างๆAppleiPhoneแอปเปิ้ลไอโฟน:,199,CASE FOR IPHONE 6/6S GREY FASHION
30,โทรศัพท์มือถือAppleiPhoneแอปเปิ้ลไอโฟน:ข้อมูลตัวเครื่องสมาร์ทโฟน (โทรศัพท์มือถือพร้อมระบบปฏิบัติการ)จอแสดงผล Retina Display 24-bit (16 ล้านสี) - ระบบสัมผัส Multi-Touch- กว้าง 4.7 นิ้ว (แนวทะแยง)- ควา...,"21,000",Apple iPhone 6s 32GB (Gold)
31,"สายเคเบิ้ล สายดาต้าลิ้งค์AppleiPhoneแอปเปิ้ลไอโฟน:FOXCONN สายชาร์จ Apple Original 100% ของแท้รองรับ ios ทุกเวอร์ชั่น / iPhone 7,6 ทุกรุ่นFoxconn คือฟ็อกซ์คอนน์อินเตอร์เนชั่นแนลโฮลดิงส์ เป็นบริษัทในเครือของ หองไ...",299,"FOXCONN สายชาร์จมือถือ สำหรับ iPhone 7/7+, 6/6s/6+ และ 5/5s White"
32,ซองโทรศัพท์ ซิลิโคน แผ่นกันรอยAppleiPhoneแอปเปิ้ลไอโฟน:ประเภท : FILM IPHONE 6/6S รุ่น/สี : TEMPERED GLASS CLEAR วัสดุที่ใช้ : TEMPERED GLASS ใช้เพื่อ : PROTECTION การรับประกัน : AT POINT OF SALE,390,FILM IPHONE 6/6S DEVIA TEMPERED GLASS-CLEAR (219606)
33,สายเคเบิ้ล สายดาต้าลิ้งค์Appleแอปเปิ้ล:Charge and data syncUsb2.0 and 8pin cableApple official MFI license,300,สายชาร์จ แอปเปิ้ล Lightning (1 เมตร) สำหรับ iPhone 5/5s/6/6s/7 (พร้อมกล่อง)
